40	12
0	0	0.2	0.3	0.4	0.5	0.6	0.7	0.75	0.8	0.9	1
-180	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053
-173	0.4863	0.4863	0.4863	0.4863	0.4863	0.4863	0.4863	0.4863	0.4863	0.4863	0.4863
-161	0.4896	0.4896	0.4896	0.4896	0.4896	0.4896	0.4896	0.4896	0.4896	0.4896	0.4896
-147	0.7929	0.7929	0.7929	0.7929	0.7929	0.7929	0.7929	0.7929	0.7929	0.7929	0.7929
-129	0.8406	0.8406	0.8406	0.8406	0.8406	0.8406	0.8406	0.8406	0.8406	0.8406	0.8406
-49	-1.0802	-1.0802	-1.0802	-1.0802	-1.0802	-1.0802	-1.0802	-1.0802	-1.0802	-1.0802	-1.0802
-30	-1.0615	-1.0615	-1.0615	-1.0615	-1.0615	-1.0615	-1.0615	-1.0615	-1.0615	-1.0615	-1.0615
-20	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8
-16	-0.72	-0.72	-0.72	-0.7153	-0.7147	-0.7253	-0.7229	-0.7333	-0.6895	-0.6452	-0.6452
-12	-0.64	-0.64	-0.64	-0.6307	-0.6294	-0.6507	-0.6457	-0.6666	-0.579	-0.4903	-0.4903
-10	-0.6	-0.6	-0.6	-0.5883	-0.5867	-0.6133	-0.6072	-0.6332	-0.5237	-0.4129	-0.4129
-8	-0.56	-0.56	-0.56	-0.546	-0.5441	-0.576	-0.5686	-0.5999	-0.4685	-0.3355	-0.3355
-6	-0.52	-0.52	-0.52	-0.5037	-0.5014	-0.5387	-0.53	-0.5665	-0.4123	-0.258	-0.258
-5	-0.4075	-0.4075	-0.4075	-0.4021	-0.4769	-0.52	-0.5107	-0.5499	-0.3856	-0.2193	-0.2193
-4	-0.295	-0.295	-0.295	-0.3006	-0.3484	-0.3724	-0.4193	-0.5332	-0.358	-0.1806	-0.1806
-3	-0.1824	-0.1824	-0.1824	-0.199	-0.2199	-0.2249	-0.2516	-0.3278	-0.3303	-0.1419	-0.1419
-2	-0.0699	-0.0699	-0.0699	-0.0803	-0.0907	-0.0822	-0.0839	-0.1149	-0.1958	-0.1032	-0.1032
-1	0.0426	0.0426	0.0426	0.0384	0.0385	0.0604	0.0838	0.1019	0.0035	-0.0645	-0.0645
0	0.1551	0.1551	0.1551	0.1571	0.1677	0.203	0.2516	0.3132	0.1246	0.0843	0.0843
1	0.2667	0.2667	0.2667	0.2752	0.2989	0.3479	0.4154	0.3664	0.2274	0.1765	0.1765
2	0.3783	0.3783	0.3783	0.3932	0.43	0.4927	0.5549	0.4574	0.2996	0.2199	0.2199
3	0.4899	0.4899	0.4899	0.5112	0.5612	0.6376	0.6471	0.4875	0.3386	0.2632	0.2632
4	0.6015	0.6015	0.6015	0.6292	0.6923	0.7824	0.7155	0.5177	0.3775	0.3065	0.3065
5	0.7131	0.7131	0.7131	0.7472	0.8234	0.9273	0.7319	0.5478	0.4164	0.3499	0.3499
6	0.8246	0.8246	0.8246	0.8652	0.9546	1.0583	0.7497	0.578	0.4553	0.3932	0.3932
7	0.9362	0.9362	0.9362	0.9832	1.0857	1.1137	0.7676	0.6081	0.4942	0.4366	0.4366
8	1.0487	1.0487	1.0487	1.1013	1.2169	1.1694	0.7855	0.6383	0.5331	0.4799	0.4799
9	1.1498	1.1498	1.1498	1.2191	1.348	1.2251	0.8034	0.6684	0.572	0.5232	0.5232
10	1.2518	1.2518	1.2518	1.3182	1.4066	1.1946	0.8212	0.6986	0.6109	0.5666	0.5666
12	1.4205	1.4205	1.4205	1.3351	1.441	1.2027	0.857	0.7588	0.6887	0.6533	0.6533
16	1.12	1.12	1.12	1.1115	1.233	1.1013	0.9285	0.8794	0.8444	0.8266	0.8266
20	1	1	1	1	1	1	1	1	1	1	1
30	1.0615	1.0615	1.0615	1.0615	1.0615	1.0615	1.0615	1.0615	1.0615	1.0615	1.0615
49	1.0802	1.0802	1.0802	1.0802	1.0802	1.0802	1.0802	1.0802	1.0802	1.0802	1.0802
129	-0.8406	-0.8406	-0.8406	-0.8406	-0.8406	-0.8406	-0.8406	-0.8406	-0.8406	-0.8406	-0.8406
147	-0.7929	-0.7929	-0.7929	-0.7929	-0.7929	-0.7929	-0.7929	-0.7929	-0.7929	-0.7929	-0.7929
161	-0.4896	-0.4896	-0.4896	-0.4896	-0.4896	-0.4896	-0.4896	-0.4896	-0.4896	-0.4896	-0.4896
173	-0.4863	-0.4863	-0.4863	-0.4863	-0.4863	-0.4863	-0.4863	-0.4863	-0.4863	-0.4863	-0.4863
180	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053


										
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
